trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.4, 'e': 0.8288345128771979}",25,0,-88.36585512008094,"{0: 17, 1: 2, 2: 2, 3: 4, 4: 0}",0
76,False,"{'a': 0.4, 'e': 0.826762426595005}",20,1,-20.442035936533948,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.4, 'e': 0.8246955205285175}",25,9,-96.75960849103586,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 1}",1
78,False,"{'a': 0.4, 'e': 0.8226337817271963}",20,0,-38.75137466764997,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.8205771972728783}",20,11,-38.885217366453716,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.8185257542796961}",20,9,-102.68013190326194,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
81,False,"{'a': 0.4, 'e': 0.816479439893997}",25,0,-100.92302837510431,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 0}",0
82,False,"{'a': 0.4, 'e': 0.814438241294262}",30,0,-144.10483101282045,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
83,False,"{'a': 0.4, 'e': 0.8124021456910263}",30,10,-181.0873211976918,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",1
84,False,"{'a': 0.4, 'e': 0.8103711403267988}",20,0,-47.12425990938011,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.4, 'e': 0.8083452124759819}",20,0,-44.43365592610531,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.4, 'e': 0.8063243494447919}",20,0,-116.95166446115265,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.4, 'e': 0.80430853857118}",20,0,-145.60173736752893,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
88,False,"{'a': 0.4, 'e': 0.8022977672247521}",20,13,-3.7892479198439943,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.8002920228066903}",30,8,-85.17732975135407,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
90,False,"{'a': 0.4, 'e': 0.7982912927496736}",25,0,-122.0867211571365,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
91,False,"{'a': 0.4, 'e': 0.7962955645177995}",20,0,-64.50714887240682,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.4, 'e': 0.7943048256065051}",25,0,-38.49096740030685,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.4, 'e': 0.7923190635424888}",25,0,-108.65730397329452,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
94,False,"{'a': 0.4, 'e': 0.7903382658836327}",20,0,-219.1801828222382,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
95,False,"{'a': 0.4, 'e': 0.7883624202189236}",20,0,-125.29893047325922,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.4, 'e': 0.7863915141683763}",20,0,-107.45377609720785,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
97,False,"{'a': 0.4, 'e': 0.7844255353829555}",25,1,-43.07530214377564,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.782464471544498}",20,0,-61.574755583496945,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.7805083103656368}",25,0,-75.34724871805625,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
100,False,"{'a': 0.4, 'e': 0.7785570395897228}",20,0,-33.35868482323822,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.4, 'e': 0.7766106469907486}",20,0,-85.73487699775333,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
102,False,"{'a': 0.4, 'e': 0.7746691203732717}",25,3,-100.172308851523,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
103,False,"{'a': 0.4, 'e': 0.7727324475723386}",20,0,-127.06384886271483,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
104,False,"{'a': 0.4, 'e': 0.7708006164534078}",30,0,-62.67618714129372,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
105,False,"{'a': 0.4, 'e': 0.7688736149122742}",35,0,-29.402032406377916,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
106,False,"{'a': 0.4, 'e': 0.7669514308749936}",35,20,-41.14568791888443,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
107,False,"{'a': 0.4, 'e': 0.7650340522978062}",30,8,-34.00687996042935,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
